jahr,monat,tag,,blau,blau,gelb,gelb,bio,bio,sack,kleider
2016,1,2,Sa,,,4,6,,16,14,15
2016,1,4,Mo,,,10,,1,2,,16
2016,1,5,Di,,,11,12,,3,1,2
2016,1,6,Mi,,,13,,8,9,,3
2016,1,7,Do,,,14,15,,5,9,8
2016,1,8,Fr,,,16,,4,6,,5
2016,1,11,Mo,1,2,,,,10,6,4
2016,1,12,Di,3,,,,11,12,,10
2016,1,13,Mi,8,9,,,,13,12,11
2016,1,14,Do,5,,,,14,15,,13
2016,1,15,Fr,4,6,,,,16,15,14
2016,1,18,Mo,10,,,,1,2,16,
2016,1,19,Di,11,12,,,,3,2,1
2016,1,20,Mi,13,,,,8,9,3,
2016,1,21,Do,14,15,,,,5,8,9
2016,1,22,Fr,16,,,,4,6,5,
2016,1,25,Mo,,,1,2,,10,4,6
2016,1,26,Di,,,3,,11,12,10,
2016,1,27,Mi,,,8,9,,13,11,12
2016,1,28,Do,,,5,,14,15,13,
2016,1,29,Fr,,,4,6,,16,14,15
2016,2,1,Mo,,,10,,1,2,,16
2016,2,2,Di,,,11,12,,3,1,2
2016,2,3,Mi,,,13,,8,9,,3
2016,2,4,Do,,,14,15,,5,9,8
2016,2,5,Fr,,,16,,4,6,,5
2016,2,8,Mo,1,2,,,,10,6,4
2016,2,9,Di,3,,,,11,12,,10
2016,2,10,Mi,8,9,,,,13,12,11
2016,2,11,Do,5,,,,14,15,,13
2016,2,12,Fr,4,6,,,,16,15,14
2016,2,15,Mo,10,,,,1,2,16,
2016,2,16,Di,11,12,,,,3,2,1
2016,2,17,Mi,13,,,,8,9,3,
2016,2,18,Do,14,15,,,,5,8,9
2016,2,19,Fr,16,,,,4,6,5,
2016,2,22,Mo,,,1,2,,10,4,6
2016,2,23,Di,,,3,,11,12,10,
2016,2,24,Mi,,,8,9,,13,11,12
2016,2,25,Do,,,5,,14,15,13,
2016,2,26,Fr,,,4,6,,16,14,15
2016,2,29,Mo,,,10,,1,2,,16
2016,3,1,Di,,,11,12,,3,1,2
2016,3,2,Mi,,,13,,8,9,,3
2016,3,3,Do,,,14,15,,5,9,8
2016,3,4,Fr,,,16,,4,6,,5
2016,3,7,Mo,1,2,,,,10,6,4
2016,3,8,Di,3,,,,11,12,,10
2016,3,9,Mi,8,9,,,,13,12,11
2016,3,10,Do,5,,,,14,15,,13
2016,3,11,Fr,4,6,,,,16,15,14
2016,3,14,Mo,10,,,,1,2,16,
2016,3,15,Di,11,12,,,,3,2,1
2016,3,16,Mi,13,,,,8,9,3,
2016,3,17,Do,14,15,,,,5,8,9
2016,3,18,Fr,16,,,,4,6,5,
2016,3,19,Sa,,,1,2,,10,4,6
2016,3,21,Mo,,,3,,11,12,10,
2016,3,22,Di,,,8,9,,13,11,12
2016,3,23,Mi,,,5,,14,15,13,
2016,3,24,Do,,,4,6,,16,14,15
2016,3,29,Di,,,10,,1,2,,16
2016,3,30,Mi,,,11,12,,3,1,2
2016,3,31,Do,,,13,,8,9,,3
2016,4,1,Fr,,,14,15,,5,9,8
2016,4,2,Sa,,,16,,4,6,,5
2016,4,4,Mo ,1,2,,,,10,6,4
2016,4,5,Di,3,,,,11,12,,10
2016,4,6,Mi,8,9,,,,13,12,11
2016,4,7,Do,5,,,,14,15,,13
2016,4,8,Fr,4,6,,,,16,15,14
2016,4,11,Mo,10,,,,1,2,16,
2016,4,12,Di,11,12,,,,3,2,1
2016,4,13,Mi,13,,,,8,9,3,
2016,4,14,Do,14,15,,,,5,8,9
2016,4,15,Fr,16,,,,4,6,5,
2016,4,18,Mo,,,1,2,,10,4,6
2016,4,19,Di,,,3,,11,12,10,
2016,4,20,Mi,,,8,9,,13,11,12
2016,4,21,Do,,,5,,14,15,13,
2016,4,22,Fr,,,4,6,,16,14,15
2016,4,25,Mo,,,10,,1,2,,16
2016,4,26,Di,,,11,12,,3,1,2
2016,4,27,Mi,,,13,,8,9,,3
2016,4,28,Do,,,14,15,,5,9,8
2016,4,29,Fr,,,16,,4,6,,5
2016,5,2,Mo ,1,2,,,,10,6,4
2016,5,3,Di,3,,,,11,12,,10
2016,5,4,Mi,8,9,,,,13,12,11
2016,5,6,Fr,5,,,,14,15,,13
2016,5,7,Sa,4,6,,,,16,15,14
2016,5,9,Mo,10,,,,1,2,16,
2016,5,10,Di,11,12,,,,3,2,1
2016,5,11,Mi,13,,,,8,9,3,
2016,5,12,Do,14,15,,,,5,8,9
2016,5,13,Fr,16,,,,4,6,5,
2016,5,17,Di,,,1,2,,10,4,6
2016,5,18,Mi,,,3,,11,12,10,
2016,5,19,Do,,,8,9,,13,11,12
2016,5,20,Fr,,,5,,14,15,13,
2016,5,21,Sa,,,4,6,,16,14,15
2016,5,23,Mo,,,10,,1,2,,16
2016,5,24,Di,,,11,12,,3,1,2
2016,5,25,Mi,,,13,,8,9,,3
2016,5,27,Fr,,,14,15,,5,9,8
2016,5,28,Sa,,,16,,4,6,,5
2016,5,30,Mo,1,2,,,,10,6,4
2016,5,31,Di,3,,,,11,12,,10
2016,6,1,Mi,8,9,,,,13,12,11
2016,6,2,Do,5,,,,14,15,,13
2016,6,3,Fr,4,6,,,,16,15,14
2016,6,6,Mo ,10,,,,1,2,16,
2016,6,7,Di,11,12,,,,3,2,1
2016,6,8,Mi,13,,,,8,9,3,
2016,6,9,Do,14,15,,,,5,8,9
2016,6,10,Fr,16,,,,4,6,5,
2016,6,13,Mo,,,1,2,,10,4,6
2016,6,14,Di,,,3,,11,12,10,
2016,6,15,Mi,,,8,9,,13,11,12
