Ackerhagen,6,
Adalbert-Stifter-Straße,10,
Adelstraße,2,
Ahler Grenzweg,5,
Ahler Grenzweg,5,
Ahler Heide,5,
Ahler Straße,5,Von Osnabrücker Str. bis Boschstr.
Ahler Straße,1,Von Boschstr. bis Rödinghauser Str.
Ahornstraße,13,
Akazienstraße,13,
Aktienstraße,9,
Albert-Schweitzer-Straße,4,
Albert-Schweitzer-Straße,4,
Alex-Weiss-Straße,16,
Allensteiner Straße,14,
Alte Borriesstraße,16,
Alte Breite,14,
Alte Heide,3,
Alte Heide,3,
Alte Kreisstraße,5,
Altenhüffer Mühlenweg,10,Gewinghauser Bach bis Habighorster Weg
Altenhüffer Mühlenweg,2,Habighorster Weg bis Gewinghauser Bach
Alter Garten,13,
Alter Postweg,4,
Altemeierweg,3,
Am Autohof,12,ehemals Am Tankhof
Am Bauhof,6,
Am Brendel,10,
Am Brunnen,8,
Am Bulskamp,2,
Am Böseberg,4,
Am Eselsbach,14,
Am Fichtenkamp,13,
Am Flachhof,1,
Am Gewinghauser Bach,6,
Am Goldsiek,2,
Am Hagsbrink,2,
Am Hofacker,6,
Am Hückerholz,2,
Am Jägerkrug,14,
Am Kalkofen,4,
Am Karrenbruch,5,
Am Kindergarten,4,
Am Kreuzstein,13,
Am Krähenbusch,4,
Am Markt,9,
Am Meyerwege,4,
Am Müllerkamp,4,
Am Ohrhagen,2,
Am Ostbach,10,
Am Röbekamp,2,
Am Schnellweg,1,
Am Sonnenhof,16,
Am Sportplatz,5,Heuerlingstraße bis Schluchtweg
Am Sportplatz,1, Schluchtweg bis Mühlenfeldstraße
Am Steinacker,5,
Am Steinring,16,
Am Strangbach,3,
Am Sunderbach,12,
Am Sunderkamp,12,
Am Tannenbusch,13,
Am Wickenkamp,6,
Am Wickenkamp,6,
Am Wiedholz,5,
Amselweg,14,
Amtshausplatz,16,
Amtshausstraße,16,
An den Büschen,1,
An den Höfen,3,
An den Kämpen,3,
An den Toppenwiesen,2,
An der Billerke,2,
An der Darmühle,1,
An der Eichfeldstraße,14,
An der Friedhofstraße,15,
An der Hochstraße,13,
An der Schwartemeierstraße,11,
An der Talstraße,16,
An der Waldstraße,15,
Anglerweg,5,
Annastraße,2,
Annette-Kolb-Straße,2,
Apfelstraße,4,
Arndtstraße,6,
Arthur-Bloch-Straße,4,
Asternstraße,16,
Auf dem Brinke,2,
Auf dem Garrel,6,
Auf dem Heidkamp,2,
Auf dem Hofe,14,
Auf dem Lehmstich,1,
Auf dem Schilde,1,
Auf der Hags,2,
Auf der Heide,14,
Auf der Holland,1,
Auf der Kreuzbreite,6,
Auf'm Rott,9,
Auf'm Tie,9,
August-Bebel-Straße,3,von Engerstr. bis Weseler Str.
August-Bebel-Straße,2,von Engerstr. bis Ortsgrenze
Augustastraße,2,
Bachstraße,9,
Bahnhofstraße,9,von der Else bis zum Museumsplatz
Bahnhofstraße,8,von der Bahn bis zur Else
Bahnstraße,12,Trunerstr. bis Wollfeldstr.
Bahnstraße,13,von Wollfeldstr. bis Hauptstr.
Barlachstraße,13,
Barrenbruchweg,4,
Bassumer Straße,12,
Baukamp,10,
Beethovenstraße,11,
Behringstraße,8,
Benksunderstraße,16,
Bergengruenstraße,6,
Bergstraße,13,
Bertramstraße,2,
Billerkeweg,2,
Bindingstraße,6,
Birkenstraße,13,
Bismarckstraße,9,von der Else bis zur Eschstr.
Bismarckstraße,8,von der Else bis zur Wasserbreite
Blankener Straße,8,von Teichstr. bis Bahnhofstr.
Blankener Straße,12,von Teichstraße bis Livisionstraße
Blankensteinstraße,12,
Blumenstraße,8,
Bodelschwinghstraße,10,
Bogenstraße,2,
Bohnenstraße,11,
Borrenkampstraße,12,nördlich Osnabücker Straße (Nr 5) 
Borrenkampstraße,2,südlich Osnabrücker Straße
Borrenkampstraße,2,
Borrenkampstraße,12,nördlich Osnabücker Straße
Borriesstraße,16,von Hauptstr. bis Ackerhagen
Borriesstraße,6,von Ackerhagen bis Dünner Str.
Borsigstraße,13,
Boschstraße,1,
Boschstraße,1,
Brahmsstraße,10,
Brandastraße,2,
Brandhofstraße,1,
Brauksbrink,2,
Braunsberger Straße,14,
Brechtstraße,6,
Breedestraße,13,
Breite Straße,16,
Bremer Straße,10,
Brendel,10, Wiehenstr. bis Gewinghauser Bach 
Brendel,2,Gewinghauser Bach bis Habighorster Weg
Brendelgasse,10,
Brennweg,10,
Breslauer Straße,6,
Brinkstraße,16,
Brockfeldweg,4,
Brucknerstraße,2,
Brunestraße,5,
Brunnenallee,15,Holtkampstraße bis Minderner Straße
Brunnenallee,8,Südlenger Str. bis Holtkampstr.
Brüderstraße,8,
Buchenstraße,15,
Budweg,6,
Bukower Straße,12,wurde umbenannt in Carl-Zeiss Str.
Buntemühlenweg,10,
Bunzlauer Straße,14,
Burgastraße,2,
Burgstraße,16,
Buschstraße,16,
Bustedter Kämpe,11,
Bustedter Straße,11,
Bustedter Straße,11,
Bäckerstraße,14,
Bäderstraße,14,
Bösebergweg,4,
Büchnerstraße,6,
Bültstraße,12,Hoch- bis Hansastr.  
Bültstraße,13,Hansastr. bis Rödingh.-str.
Büssingstraße,5,
Carl-Diem-Straße,10,
Carl-Severing-Straße,3,
Carl-Zeiss-Straße,5,ehemals Bukower Str. 
Claudiusstraße,6,
Cranachstraße,2,
Dahlienstraße,16,
Daimlerstraße,5,
Dammstraße,5,
Dehmelstraße,6,
Dellereistraße,9,
Deltaweg,10,
Diegerkamp,2,
Dieselstraße,5,
Dillenbreede,4,
Dinkelstraße,6,
Dobergstraße,11,von Bustedter Str. bis Weseler Str.
Dobergstraße,13,von Herforder  Str. bis Bustedter Str.
Dobergstraße,11,
Domagkstraße,4,
Dorfstraße,2,
Drosselweg,14,
Droste-Hülshoff-Straße,2,
Droste-Hülshoff-Straße,2,
Dustholzstraße,12,
Düllerstraße,15,
Dünner Kirchweg,6,
Dünner Straße,6,
Dünner Straße,6,
Dürerstraße,2,
Dürerstraße,2,
Düsternkamp,10,
Eibenweg,15,
Eichendorffstraße,6,
Eichfeldstraße,14,
Eichholzstraße,3,
Eifelweg,1,
Einsteinstraße,4,
Ella-Ruben-Straße,1,
Ellernkamp,4,
Ellersiekstraße,12,
Elsa-Brandström-Straße,3,
Else-Hanauer-Straße,13,
Elsedamm,8,
